cia_id,cia_denominacion,cia_cuit,cia_sociedad_tipo,cia_actividad_principal
908,CHUBB TEMPEST REINSURANCE LTD,,Extranjera,Reaseg. Admitida
909,SAVA REINSURANCE COMPANY D.D.,,Extranjera,Reaseg. Admitida
910,ACE INA OVERSEAS INSURANCE COMPANY LTD,,Extranjera,Reaseg. Admitida
911,AXA FRANCE VIE SOCIETÉ ANONYME,,Extranjera,Reaseg. Admitida
912,CREDENDO-EXPORT CREDIT AGENCY,,Extranjera,Reaseg. Admitida
913,CATLIN RE SCHWEIZ AG,,Extranjera,Reaseg. Admitida
914,AMERICAN INTERNATIONAL GROUP UK LIMITED,,Extranjera,Reaseg. Admitida
915,QBE EUROPE NV/SA,,Extranjera,Reaseg. Admitida
918,"SOLUNION SEGUROS, COMPAÑÍA INTERNACIONAL DE SEGUROS Y REASEGUROS, S.A.",,Extranjera,Reaseg. Admitida
919,JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A.),,Extranjera,Reaseg. Admitida
922,SOLVENCIA COMPAÑÍA DE SEGUROS DE RETIRO SOCIEDAD ANÓNIMA.,30716406012,Sociedad Anónima,Seguros de Retiro
923,HAMILTON INSURANCE DESIGNATED ACTIVITY COMPANY,,Extranjera,Reaseg. Admitida
924,AMERICAN AGRICULTURAL INSURANCE COMPANY,,Extranjera,Reaseg. Admitida
925,MS AMLIN AG,,Extranjera,Reaseg. Admitida
926,SAN MARINO COMPAÑÍA DE SEGUROS SOCIEDAD ANÓNIMA,30714584223,Sociedad Anónima,Sepelio
927,HARTFORD FIRE INSURANCE COMPANY,,Extranjera,Reaseg. Admitida
928,GREAT LAKES INSURANCE SE,,Extranjera,Reaseg. Admitida
929,W.R.BERKLEY EUROPE AG,,Extranjera,Reaseg. Admitida
930,PREVENCIÓN SEGUROS DE RETIRO SOCIEDAD ANÓNIMA,30716030438,Sociedad Anónima,Seguros de Retiro
931,PREMIAR COMPAÑÍA ARGENTINA DE SEGUROS S.A.,30716529793,Sociedad Anónima,Caución
932,ART MUTUAL RURAL DE SEGUROS DE RIESGOS DEL TRABAJO,30716211432,Mutual,A.R.T.
933,ESENCIA SEGUROS S.A.,30715342371,Sociedad Anónima,Sepelio
934,STARR INTERNATIONAL (EUROPE) LIMITED,,Extranjera,Reaseg. Admitida
935,TALANX  AG,,Extranjera,Reaseg. Admitida
936,PICC REINSURANCE COMPANY LIMITED,,Extranjera,Reaseg. Admitida
937,ASEGURADORA DE BIENES Y SERVICIOS S.A.,30715292382,Sociedad Anónima,Vida
938,AIG EUROPE S.A.,,Extranjera,Reaseg. Admitida
939,ASPEN BERMUDA LIMITED,,Extranjera,Reaseg. Admitida
940,THE WEST OF ENGLAND SHIP OWNERS MUTUAL INSURANCE ASSOCIATION (LUXEMBOURG),,Extranjera,Reaseg. Admitida
941,NORTH OF ENGLAND PROTECTING & INDEMNITY ASSOCIATION LTD,,Extranjera,Reaseg. Admitida
942,UNITED STATES FIRE INSURANCE COMPANY,,Extranjera,Reaseg. Admitida
943,THE TOA REINSURANCE COMPANY OF AMERICA,,Extranjera,Reaseg. Admitida
944,LA EQUIDAD SOCIAL COMPAÑÍA DE SEGUROS PATRIMONIALES S.A.,30714947415,Sociedad Anónima,Seguros Generales
945,AXA XL INSURANCE COMPANY UK LIMITED,,Extranjera,Reaseg. Admitida
946,FIDELIS UNDERWRITING LIMITED,,Extranjera,Reaseg. Admitida
947,"THE PEOPLE'S INSURANCE COMPANY OF CHINA (HONG KONG), LIMITED",,Extranjera,Reaseg. Admitida
948,DEUTSCHE RÜCKVERSICHERUNG AG,,Extranjera,Reaseg. Admitida
949,THE UNITED KINGDOM MUTUAL STEAM SHIP ASSURANCE ASSOCIATION,,Extranjera,Reaseg. Admitida
950,CONVEX INSURANCE UK LIMITED,,Extranjera,Reaseg. Admitida
951,FIDELIS INSURANCE BERMUDA LIMITED,,Extranjera,Reaseg. Admitida
952,ARUNDO RE,,Extranjera,Reaseg. Admitida
953,SOMPO JAPAN INSURANCE INC,,Extranjera,Reaseg. Admitida
954,SCOR GLOBAL REINSURANCE IRELAND DESIGNATED ACTIVITY COMPANY,,Extranjera,Reaseg. Admitida
955,OCEAN INTERNATIONAL REINSURANCE COMPANY LIMITED,,Extranjera,Reaseg. Admitida
956,"SI INSURANCE (EUROPE), SA",,Extranjera,Reaseg. Admitida
957,"COMPAÑÍA ESPAÑOLA DE SEGUROS DE CRÉDITO A LA EXPORTACIÓN, S.A., COMPAÑÍA DE SEGUROS Y REASEGUROS, SOCIEDAD MERCANTIL ESTATAL",,Extranjera,Reaseg. Admitida
958,AVIVA INSURANCE LIMITED,,Extranjera,Reaseg. Admitida
959,ANDINA ART S.A.,33716992999,Sociedad Anónima,A.R.T.
960,SWISS RE CORPORATE SOLUTIONS AMERICA INSURANCE CORPORATION,,Extranjera,Reaseg. Admitida
961,ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS,,Extranjera,Reaseg. Admitida
962,ART MUTUAL DE EMPLEADOS MECANICOS Y AFINES DEL TRANSPORTE AUTOMOTOR SAN FRANCISCO,30717216586,Mutual,A.R.T.
963,ENDURANCE SPECIALTY INSURANCE LTD.,,Extranjera,Reaseg. Admitida
964,RCI COMPAÑÍA DE SEGUROS DE PERSONAS SAU,30717570592,Sociedad Anónima,Vida
966,INCLUIR COMPAÑÍA DE SEGUROS DE PERSONAS SOCIEDAD ANÓNIMA,33718094009,Sociedad Anónima,Sepelio
967,CHINA PACIFIC PROPERTY INSURANCE COMPANY LTD,,Extranjera,Reaseg. Admitida
968,ECHO REINSURANCE LIMITED,,Extranjera,Reaseg. Admitida
969,AXA XL REINSURANCE LTD.,,Extranjera,Reaseg. Admitida
970,XL RE EUROPE SE,,Extranjera,Reaseg. Admitida
971,RENAISSANCERE EUROPE AG,,Extranjera,Reaseg. Admitida
972,PARANÁ ASEGURADORA DE RIESGOS DEL TRABAJO SOCIEDAD ANÓNIMA,30718567420,Sociedad Anónima,A.R.T.
973,SOCIAL SAN JUAN SEGUROS DE PERSONAS S.A.,30717019969,Sociedad Anónima,Sepelio
974,SCOR SE (SUCURSAL ARGENTINA),30718665368,Extranjera,Reaseg. Local
975,LOGRAR COMPAÑÍA DE SEGUROS PATRIMONIALES SOCIEDAD ANÓNIMA,33718266489,Sociedad Anónima,Seguros Generales
976,WENTWORTH INSURANCE COMPANY LTD.,,Extranjera,Reaseg. Admitida
977,LOGRAR COMPAÑÍA DE SEGUROS DE PERSONAS S.A.,30718268636,Sociedad Anónima,Vida
978,LA PALABRA COMPAÑÍA DE SEGUROS DE PERSONAS S.A.,30718247337,Sociedad Anónima,Sepelio
979,COMPAÑÍA DE SEGUROS GENERALES DE LA PROVINCIA DE SANTA CRUZ SOCIEDAD ANÓNIMA,33718192949,Sociedad Anónima,Seguros Generales
980,COFACE RE S.A.,,Extranjera,Reaseg. Admitida
981,LA PALABRA COMPAÑÍA DE SEGUROS PATRIMONIALES S.A.,33718252119,Sociedad Anónima,Seguros Generales
982,PEERLESS INSURANCE COMPANY,,Extranjera,Reaseg. Admitida
983,"ACTIVE CAPITAL REINSURANCE, LTD.",,Extranjera,Reaseg. Admitida
